web-scraper-order,web-scraper-start-url,code,text_url,url,url-href,period,type,credits,year
"1739375749-1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/gestionar","22214003","GEOMETRIA DESCRIPTIVA I","Presencial","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/116824/guia_docent","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739375749-2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/gestionar","22214001","GRÀFICA ARQUITECTÒNICA I","Presencial","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/116822/guia_docent","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739375749-3","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/gestionar","22214005","INTRODUCCIÓ A PROJECTES I","Presencial","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/116728/guia_docent","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739375749-4","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/gestionar","22214010","MATEMÀTIQUES I","Presencial","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/116823/guia_docent","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739375749-5","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/gestionar","22214116","TEORIA I","Presencial","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/116825/guia_docent","Primer quadrimestre","Obligatòria","3.0","Primer curs"
"1739375749-6","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/gestionar","22214101","TÈCNICA I","Presencial","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/116907/guia_docent","Primer quadrimestre","Obligatòria","3.0","Primer curs"
"1739375749-7","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/gestionar","22214004","GEOMETRIA DESCRIPTIVA II","Presencial","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/116931/guia_docent","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739375749-8","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/gestionar","22214002","GRÀFICA ARQUITECTÒNICA II","Presencial","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/116826/guia_docent","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739375749-9","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/gestionar","22214006","INTRODUCCIÓ A PROJECTES II","Presencial","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/116729/guia_docent","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739375749-10","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/gestionar","22214009","MATEMÀTIQUES II","Presencial","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/116930/guia_docent","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739375749-11","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/gestionar","22214117","TEORIA II","Presencial","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/116827/guia_docent","Segon quadrimestre","Obligatòria","3.0","Primer curs"
"1739375749-12","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/gestionar","22214102","TÈCNICA II","Presencial","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3547/assignatures/116828/guia_docent","Segon quadrimestre","Obligatòria","3.0","Primer curs"
